Titulo,Autor,Fecha,Link,Introduccion
VIDEO: Pelea entre «machitos» termina con niño lesionado en el Centro,Iván C,"9 agosto, 2023",https://laparadadigital.com/video-pelea-entre-machitos-termina-con-nino-lesionado-en-el-centro/,"Noticias de Chihuahua.- En pleno Centro de la ciudad se presentó una pela intensa entre dos hombres quienes comenzaron a golpearse en la avenida Ocampo y Teófilo Borunda, como resultado un niño quedó lesionado. Uno de los hombres que estaba perdiendo la pelea, decidió lanzarle una piedra a su contrincante, sin embargo el objeto terminó"
Detenidos por asalto a Tecnoval son chalanes; los buenos están libres,Iván C,"9 agosto, 2023",https://laparadadigital.com/detenidos-por-asalto-a-tecnoval-son-chalanes-los-buenos-estan-libres/,"Noticias de Chihuahua.- El Fiscal General del Estado, César Gustavo Jáuregui, informó que los cuatro detenidos por el atraco a custodios de Tecnoval, solo auxiliaron a los responsables, estos siguen libres. Jáuregui dijo en rueda de prensa, que los apresados por la Municipal, auxiliaron a los culpables del atraco y asesinato de uno custodio y"
Reventaron tres guarderías clandestinas,Iván C,"9 agosto, 2023",https://laparadadigital.com/reventaron-tres-guarderias-clandestinas/,"Noticias de Chihuahua.- En la ciudad de Chihuahua se han detectado otras tres guarderías clandestinas o que operan de manera irregular, esto luego de que la Secretarío de Desarrollo Humano y Bien Comun iniciara con revisiones más exhaustivas. Karla Rivas titular de la dependencia, indicó que las inspecciones serán cada vez más constantes y rigurosas,"
Despiden a Bautista; custodio ejecutado en asalto a camión de valores,Iván C,"9 agosto, 2023",https://laparadadigital.com/despiden-a-bautista-custodio-ejecutado-en-asalto-a-camion-de-valores/,"Noticias de Chihuahua.-  A través de las redes sociales familiares, amigos y conocidos de Miguel Antonio Bautista lo despidieron y reconocieron el logró de los responsables del robo y su asesinato, pero aún asi manifestaron que “nadie les va a regresar a Miguel”. Son decenas de mensajes en los que han despedido y exigiendo justicia"
"VERSIÓN: Muere Rubén Aguilar, dueño del PT",Staff,"9 agosto, 2023",https://laparadadigital.com/version-muere-ruben-aguilar-dueno-del-pt/,"Noticias de Chihuahua.- De manera extraoficial, trascendió que el dueño del Partido del Trabajo falleció ayer en un hospital privado de la ciudad. Se comenta que el fallecimiento fue a causa de una complicación en una operación que le habían realizado. Hasta ahora, no existe comunicado, ni declaración oficial que confirme este suceso. Cabe mencionar"
Le meten dos “fierrazos” y queda grave,Iván C,"9 agosto, 2023",https://laparadadigital.com/le-meten-dos-fierrazos-y-queda-grave/,"Noticias de Chihuahua.- Herido de gravedad quedó un hombre ayer en la noche al ser atacado con un arma punzo cortante. Fue a las 23:45 horas de ayer cuando policías y paramédicos acudieron a las calles Tupamaros y Feccam, en la colonia 20 Aniversario, donde reportaban a un hombre herido. El afectado dijo llamarse Juan"
Caen 4 por robo a camión de valores en Alsuper,Iván C,"9 agosto, 2023",https://laparadadigital.com/detuvieron-a-4-por-robo-a-camion-de-valores/,"Noticias de Chihuahua.-  Tal como lo advirtió el alcalde Marco Bonilla: «Aquí en Chihuahua el que la hace, la paga”, y gracias al trabajo del equipo de inteligencia de la Policía Municipal y los elementos que participaron en el operativo especial de búsqueda, fue posible detener a tres presuntos implicados en el asalto a los"
Conoce las identidades de los custodios acribillados por asaltantes en Alsuper,Iván C,"8 agosto, 2023",https://laparadadigital.com/conoce-las-identidades-de-los-custodios-acribillados-por-asaltantes-en-alsuper/,"Noticias de Chihuahua.- La Fiscalía General del Estado dio a conocer los nombres de los guardias de seguridad que fueron victimas de un ataque armado en las inmediaciones del Alsuper R. Almada, donde uno de ellos perdió la vida, otro resultó herido y uno más logró sobrevivir. En colaboración con la Dirección de Seguridad Pública"
VIDEO: Buscan al Señor de la «MAMALONA»; agarra perros ajenos por la José Vasconcelos,Iván C,"8 agosto, 2023",https://laparadadigital.com/video-buscan-al-senor-de-la-mamalona-agarra-perros-ajenos-por-la-jose-vasconcelos/,"Noticias de Chihuahua.- Vecinos de  la Deportiva, José Vasconcelos están buscando al «encantador de perros» quien tiene afición por pasar entre calle y calle para robarse a las mascotas de los vecinos del sector, algunos creen que pueda ser para poner un puesto de barbacoa y otros para revenderlos. El «señor de la mamalona» como"
VIDEO: Custodios de Tecnoval quedan con las armas en el pecho y ensangrentados,Iván C,"8 agosto, 2023",https://laparadadigital.com/video-custodios-de-tecnoval-quedan-con-las-armas-en-el-pecho-y-ensangrentados/,Noticias de Chihuahua.- Usuarios de las redes sociales difundieron un video del momento en el que los custodios del camión de valores TecnoVal quedan tendidos en el piso a un costado del cajero automático del Alsuper tras recibir varios impactos de bala en el cuerpo. En el video se observa a un empleado del Alsuper
