Titulo,Sku,Precio original,Precio Descuento,Precio Envio,Stock
"Procesador AMD Ryzen 5 5600G con Gráficos Radeon 7, S-AM4, 3.90GHz, Six-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000252BOX,"$2,098.00","$1,819.00",$99.00,97
"Memoria RAM HPE DDR4, 2933MHz, 32GB, CL21, Registered (Buffered)",P00924-B21,"$15,352.00","$2,309.00",$99.00,21
"SSD Adata FALCON NVMe, 1TB, PCI Express 3.0, M.2",AFALCON-1T-C,"$1,883.00",$899.00,$99.00,5
"SSD Western Digital WD Blue SN570 NVMe, 500GB, PCI Express 3.0, M.2 ― Incluye Membresía 1 Mes de Adobe Creative Cloud",WDS500G3B0C,$694.00,$509.00,Envío gratis,16
"Router ASUS Gigabit Ethernet de Banda Dual RT-AC66U B1 AC1750 para Gaming con AiMesh, Inalámbrico, 1300 Mbit/s, 4x RJ-45, 2.4/5GHz, 3 Antenas",90IG0300-BA1000,"$1,870.00","$1,019.00",Envío gratis,183
"Cartucho Brother LC107BK Negro, 1200 Páginas",LC107BK,$562.00,$168.00,$99.00,¡1
"X-Case Caja ACCREDKE10, 1x RJ-45, 10 Piezas",ACCREDKE10,$365.00,$51.00,$99.00,5
"Yeyian Audífonos Gamer Force S3000, Alámbrico, 2.2 Metros, 3.5mm, Gris ― ¡Compra productos Yeyian y gana 1 de los 4 pases dobles al Gamergy 2023!",YDF-33401G,$408.00,$180.00,$99.00,587
"Memoria RAM Adata AD5U48008G-S DDR5, 4800MHz, 8GB, ECC, CL40",AD5U48008G-S,"$1,048.00",$488.00,$99.00,13
"Zebra Rollo de Etiquetas Z-Select 4000T, 1.188"" x 0.84"", 3000 Etiquetas, 6 Rollos",10009522,"$1,169.00",$197.00,$99.00,48
"SSD Western Digital WD Black SN850, 500GB, PCI Express 4.0, M.2, NVMe ― ¡Compra y recibe un código de regalo Uber Eats de $200! Limitado a 1 código por cliente.",WDS500G1X0E,"$1,785.00",$959.00,Envío gratis,¡1
"Memoria RAM Lenovo 4ZC7A08709 DDR4, 2933MHz, 32GB",4ZC7A08709,"$9,433.00","$1,619.00",$99.00,24
"Panduit Módulo Ciego Gris, Paquete de 10 Piezas",CMBIG-X,$163.00,$22.00,$99.00,3
"SSD Western Digital WD Green SN350 NVMe, 1TB, PCI Express, M.2",WDS100T3G0C,$870.00,$709.00,Envío gratis,25
"Jabra Cable GN1216 Avaya, QD Macho - RJ-9 Macho, 80cm, Negro",88001-04,$729.00,$114.00,$99.00,204
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Menta",910-006377,"$1,272.00",$719.00,$99.00,7
"SSD Western Digital WD Blue SA510, 500GB, SATA III, 2.5"", 7mm",WDS500G3B0A,"$1,009.00",$729.00,Envío gratis,92
"Dell Docking Station DA310 USB-C, 2x USB-A, 1x USB-C, 1x HDMI, 1x DisplayPort, 1x RJ-45, Gris",470-AETL,"$2,493.00","$1,339.00",$99.00,289
"Monitor AOC 24B2XHM LCD 23.8"", Full HD, 75Hz, HDMI, Negro",24B2XHM,"$3,467.00","$2,179.00",$144.00,29
"SSD Western Digital WD_Black SN770 NVMe, 500GB, PCI Express 4.0, M.2 ― ¡Compra y recibe un código de regalo Uber Eats de $200! Limitado a 1 código por cliente.",WDS500G3X0E,$807.00,$679.00,Envío gratis,¡1
"SSD Kingston NV2 NVMe, 2TB, PCI Express 4.0, M.2",NV2S/2000G,"$1,573.00","$1,289.00",$99.00,¡1
"Tarjeta Madre Gigabyte Micro ATX B550M DS3H AC Rev. 1.0, S-AM4, AMD B550, HDMI, 128GB DDR4 para AMD",B550M DS3H AC (REV. 1.0),"$2,149.00","$1,809.00",Envío gratis,34
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Negro",910-005281,"$1,289.00",$879.00,$99.00,4
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Azul",910-006013,"$1,242.00",$879.00,$99.00,8
"Logitech Audífonos Gamer G635 7.1, Alámbrico, 1.5 Metros, 3.5mm, Negro/Azul",981-000748,"$2,752.00","$1,919.00",$99.00,7
"Monitor Curvo Samsung LC34J791WTLXZX QLED 34'', Quad HD, Ultra Wide, FreeSync, 100Hz, HDMI, Bocinas Integradas, Gris Claro",LC34J791WTLXZX,"$18,488.00","$12,549.00",$189.00,36
"SSD XPG SX8200 Pro, 1TB, PCI Express 3.0, M.2, 3.5mm",ASX8200PNP-1TT-C,"$1,256.00",$889.00,$99.00,16
"Mouse Gamer Logitech Óptico G305, Inalámbrico, USB, 12.000DPI, Lila",910-006021,"$1,029.00",$769.00,$99.00,¡1
"Logitech Audífonos Gamer G332, Alámbrico, 2 Metros, 3.5mm, Negro/Rojo",981-000755,"$1,299.00",$919.00,$99.00,13
"SSD PNY CS900, 240GB, SATA III, 2.5'', 7mm",D7CS900-240-RB,$579.00,$406.00,$99.00,26
"Tablet Lenovo Tab M7 Gen3 7"", 32GB, Android 11, Gris",ZA8C0009MX,"$2,837.00","$1,389.00",$99.00,126
"SSD HP EX950, 512GB, PCI Express 3.0, M.2",5MS22AA,"$1,126.00",$649.00,$99.00,80
"Teclado Logitech K480 Multiplataforma, Inalámbrico, Bluetooth, Negro (Español)",920-006346,$816.00,$559.00,$99.00,52
"Apple AirPods (2da. Generación), Inalámbrico, Bluetooth, Blanco - incluye Estuche de Carga Alámbrico",MV7N2BE/A,"$3,999.00","$3,109.00",Envío gratis,124
"Gabinete Yeyian Hollow 2500 con Ventana RGB, Midi-Tower, ATX/EATX/ITX/Micro ATX, USB 3.0, sin Fuente, sin Ventiladores Instalados, Negro/Blanco ― ¡Compra productos Yeyian y gana 1 de los 4 pases dobles al Gamergy 2023!",YGH-49704,"$1,047.00",$899.00,Envío gratis,57
"Fuente de Poder EVGA 700-K1 80 PLUS Bronze, ATX, 120mm, 700W",100-BR-0700-K1,"$1,852.00","$1,469.00",Envío gratis,67
"SSD Externo SanDisk Extreme Portable V2, 500GB, USB C 3.0, Negro",DSSDE61-500G-G25,"$1,726.00","$1,159.00",$99.00,¡1
"Logitech Audífonos Gamer G433 7.1 para Xbox/PS4/Nintendo Switch, Alámbrico, 2 Metros, 3.5mm, Negro",981-000667,"$2,216.00","$1,609.00",$99.00,18
"Vorago Silla Gamer CGC500, hasta 120kg, Negro/Rojo",CGC-500/RD,"$3,874.00","$2,919.00",$319.00,8
"Logitech Audífonos Gamer G Pro, Alámbrico, 2 Metros, 3.5mm, Negro",981-000811,"$2,150.00","$1,639.00",$99.00,12
"Monitor Gamer Gigabyte G24F 2 LED 23.8"", Full HD, FreeSync Premium/Adaptive-Sync, 165Hz, HDMI, Negro",G24F 2,"$3,872.00","$3,339.00",$164.00,47
"Monitor LG 29WP500-B LCD 29"", Full HD, UltraWide, FreeSync, 75Hz, HDMI, Negro",29WP500-B,"$4,951.00","$3,979.00",$164.00,34
"Mousepad Gamer Primus Arena L, 39 x 31cm, Grosor 3mm, Negro/Morado",PMP-10L,$246.00,$83.00,$99.00,13
"Teclado Logitech K380, Inalámbrico, Bluetooth, Rosa (Español)",920-009594,$795.00,$619.00,$99.00,6
"Beats by Dr. Dre Audífonos Beats Solo3 Wireless, Bluetooth, Negro",MX432LL/A,"$4,499.00","$2,749.00",$99.00,60
"Monitor Gamer LG 32MN500M-B LED 31.5"", Full HD, FreeSync, HDMI, Negro",32MN500M-B,"$5,059.00","$3,949.00",$159.00,436
"Logitech Audífonos con Micrófono Zone Vibe 100, Bluetooth, Inalámbrico, Rosa",981-001223,"$1,591.00","$1,119.00",$99.00,6
"Logitech Webcam HD Pro Stream C922, 1920x1080 Pixeles, USB, Negro",960-001087,"$2,170.00","$1,609.00",$99.00,17
"Memoria RAM XPG Spectrix D60G RGB DDR4, 3600MHz, 8GB, Non-ECC, CL19, XMP",AX4U36008G18I-ST60,$592.00,$459.00,$99.00,2
"Gabinete ASUS TUF Gaming GT301 con Ventana, Midi-Tower, ATX/Micro-ATX/Mini-ATX, USB 3.2, sin Fuente, 4 Ventiladores Instalados, Negro",90DC0040-B49000,"$2,359.00","$1,949.00",Envío gratis,245
"SSD Externo SanDisk Extreme Pro V2 NVMe, 1TB, USB-C, Negro",DSSDE81-1T00-G25,"$2,890.00","$2,129.00",Envío gratis,8
"Memoria RAM XPG Spectrix D50 RGB DDR4, 3600MHz, 8GB, CL18, XMP",AX4U36008G18I-ST50,$588.00,$432.00,$99.00,4
"Monitor Gamer Samsung Odyssey G4 LED 25”, Full HD, G-Sync, 240Hz, HDMI, Negro",LS25BG400ELXZX,"$7,496.00","$5,759.00",$144.00,9
"Tablet Ghia Vector Slim 10.1”, 16GB, Android 10 Go Edition , Negro",GTVR10SB,"$2,188.00","$1,339.00",$99.00,82
"Logitech Bocina WONDERBOOM 2, Bluetooth, Inalámbrico, Negro - Resistente al Agua",984-001554,"$1,830.00","$1,359.00",$99.00,49
"Cinta Brother TZE141 Negro sobre Claro, 18mm x 8m ― ¡Envio gratis limitado a 5 productos por cliente!",TZE141,$434.00,$306.00,Envío gratis,20
"Hisense Smart TV LED A65HV 50"", 4K Ultra HD, Negro",50A65HV,"$7,147.00","$6,199.00",$299.00,417
"SSD Samsung 970 EVO Plus NVMe, 1TB, M.2, PCI Express 3.0",MZ-V7S1T0B/AM,"$1,454.00","$1,109.00",$99.00,29
"Mouse Gamer Logitech Óptico Pro X Superlight, Inalámbrico, Lightspeed, USB A, 25.400DPI, Negro",910-005879,"$2,166.00","$1,769.00",$99.00,4
"Corsair Audífonos Gamer HS35, Alámbrico, 1.1 Metros, 3.5mm, Negro/Azul",CA-9011196-NA,$638.00,$495.00,$99.00,138
"Logitech Webcam HD Pro C920s con Micrófono, Full HD, 1920 x 1080 Pixeles, USB 2.0, Negro",960-001257,"$1,479.00","$1,179.00",$99.00,391
"Monitor ASUS ProArt PA248QV LED 24.1"", Full HD, 75Hz, HDMI, Bocinas Integradas (2 x 4W), Negro",90LM05L1-B013B0,"$4,435.00","$3,659.00",Envío gratis,14
"Procesador AMD Ryzen 5 4600G Radeon Graphics, S-AM4, 3.70GHz, Six-Core, 8MB L3 Caché - con Disipador Wraith Stealth",100-100000147BOX,"$1,674.00","$1,469.00",$99.00,70
"Logitech Kit Volante Driving Force G29, Alámbrico, USB 2.0, para PC/PlayStation 3/4",941-000111,"$5,073.00","$3,779.00",$149.00,18
"Logitech Sistema de Bocinas con Subwoofer Z906, 5.1, 500W RMS, Negro",980-000474,"$7,930.00","$6,259.00",$209.00,80
"Memoria Flash SanDisk para Nintendo Switch, 256GB MicroSDXC Class 3 (U3)",DSQXAO-256G-GNCZN,$856.00,$569.00,$99.00,103
"SSD Western Digital WD Blue SA510, 250GB, SATA III, 2.5'', 7mm",WDS250G3B0A,$623.00,$440.00,$99.00,6
"Memoria Flash Adata Premier Pro, 512GB MicroSDXC UHS-I Clase 10, con Adaptador",AUSDX512GUI3V30SA2-RA1,$991.00,$659.00,$99.00,46
"Xbox Live Gold, 1 Año ― Producto Digital Descargable",5T-00012,"$1,159.00",$959.00,Envío gratis,existencia
Honeywell HF680-R1-2USB Lector de Código de Barras 2D - incluye Cables,HF680-R1-2USB,"$4,186.00","$2,819.00",$99.00,14
"Tablet Samsung Galaxy Tab A7 Lite 8.7"", 32GB, Android 11, Plata",M-T220NZSAMXO,"$3,146.00","$2,309.00",$99.00,49
"Memoria RAM Dell AB663419 DDR4, 3200MHz, 8GB, ECC — Fabricado por Socios Dell",AB663419,"$3,984.00","$1,669.00",$99.00,25
"SSD Adata Ultimate SU800, 1TB, SATA III, 2.5'', 7mm",ASU800SS-1TT-C,"$1,536.00","$1,169.00",$99.00,¡1
"Procesador AMD Ryzen 7 5700G, S-AM4, 3.80GHz, 8-Core, 16MB L3 Caché - incluye Disipador Wraith Stealth",100-100000263BOX,"$3,224.00","$2,749.00",$99.00,57
"SSD Western Digital WD Green SN350 NVMe, 2TB, PCI Express, M.2",WDS200T3G0C,"$1,724.00","$1,429.00",Envío gratis,219
"Tarjeta Madre Gigabyte AORUS X507S Master, S-AM4, AMD X507, USB 3.2, 128GB DDR4 para AMD ― Requiere Actualización de BIOS para la Serie Ryzen 5000",X570S AORUS MASTER,"$8,167.00","$6,409.00",Envío gratis,6
"Kit Gamer 3 en 1 Corsair Teclado K60 RGB Pro + Mouse Harpoon RGB Pro + Mousepad MM300, Alámbrico, USB, Negro (Inglés)",CH-910D519-SP,"$1,997.00","$1,399.00",$99.00,609
"Xiaomi Aspiradora Mi Vacuum Cleaner Mini, 120W, 100 ml, Sin bolsa, Blanco",MI VACUUM MINI,$884.00,$579.00,$99.00,178
